代码,名称,收盘价,量能倍数,5周偏离%,洗盘痕迹,状态
000922,佳电股份,14.93,0.85,4.46,无,潜伏中
600446,金证股份,16.51,0.85,0.9,有,潜伏中
600827,百联股份,9.26,0.85,0.87,有,潜伏中
002476,宝莫股份,6.95,0.85,-2.09,无,潜伏中
600151,航天机电,17.12,0.84,-5.11,无,潜伏中
000919,金陵药业,8.03,0.84,2.27,无,潜伏中
002510,天汽模,7.94,0.84,3.14,无,潜伏中
002212,天融信,9.45,0.84,1.42,无,潜伏中
605228,神通科技,15.98,0.84,1.94,有,潜伏中
002045,国光电器,14.8,0.84,1.87,有,潜伏中
002248,华东数控,12.88,0.84,4.41,有,潜伏中
002669,康达新材,15.5,0.83,1.87,无,潜伏中
000026,飞亚达,16.93,0.83,2.52,无,潜伏中
600184,光电股份,19.22,0.83,-1.33,有,潜伏中
000501,武商集团,10.83,0.83,2.5,有,潜伏中
002446,盛路通信,11.34,0.83,-1.51,无,潜伏中
000543,皖能电力,8.47,0.83,0.83,无,潜伏中
600602,云赛智联,19.59,0.83,1.78,无,潜伏中
002674,兴业科技,14.84,0.82,1.73,无,潜伏中
600728,佳都科技,7.22,0.82,4.46,无,潜伏中
603081,大丰实业,14.39,0.82,2.65,有,潜伏中
603321,梅轮电梯,8.55,0.82,3.24,有,潜伏中
603936,博敏电子,13.18,0.82,4.74,无,潜伏中
002666,德联集团,5.83,0.81,4.93,无,潜伏中
002152,广电运通,13.78,0.81,2.04,无,潜伏中
603999,读者传媒,7.55,0.81,4.11,有,潜伏中
002765,蓝黛科技,13.1,0.81,1.27,无,潜伏中
603956,威派格,6.98,0.8,4.02,有,潜伏中
600814,杭州解百,8.33,0.8,-0.02,有,潜伏中
